"","code","growth","Photo","Cond","Ci","Tleaf","PARi","CO2R","RH_S","Rd","rdTleaf"
"1","m3.1","warm",7.355329048,0.492679179,11.79220727,24.82033157,1799.918091,49.06156158,60.38832855,-1.461762236,25.0930194866667
"2","m3.1","warm",15.46492608,0.553933033,27.84917617,24.91503906,1799.296387,100.651062,61.77412415,-1.461762236,25.0930194866667
"3","m3.1","warm",22.48823265,0.567390549,45.83891132,24.95804977,1798.687988,150.3096619,62.41212082,-1.461762236,25.0930194866667
"4","m3.1","warm",28.29757237,0.564002748,68.57454176,24.99015236,1800.12085,200.8909912,62.48997879,-1.461762236,25.0930194866667
"5","m3.1","warm",32.17900411,0.551564557,97.42937376,25.01913643,1799.765381,250.7014771,62.2906456,-1.461762236,25.0930194866667
"6","m3.1","warm",34.84479258,0.526963237,153.0438108,25.07631302,1799.873291,325.5072021,61.70523453,-1.461762236,25.0930194866667
"7","m3.1","warm",35.77187454,0.478985001,210.3173667,25.1626339,1799.838867,400.4691467,60.33510971,-1.461762236,25.0930194866667
"8","m3.1","warm",36.38602474,0.419439713,383.7825767,25.13238716,1799.767944,600.8947754,58.98955536,-1.461762236,25.0930194866667
"9","m3.1","warm",35.97044947,0.349734159,551.5450915,25.14227104,1800.301025,800.5548706,56.55814362,-1.461762236,25.0930194866667
"10","m3.1","warm",36.47699735,0.280906484,892.9014337,25.16975021,1800.125244,1199.848999,53.57199478,-1.461762236,25.0930194866667
"11","m3.1","warm",36.12679038,0.229102421,1138.758068,25.27073288,1799.617676,1500.657104,51.59142685,-1.461762236,25.0930194866667
"12","m3.2","warm",7.608275939,0.532738808,12.28002601,25.06275177,1799.189575,48.92861938,62.79286575,-1.11002648566667,24.8835716233333
"13","m3.2","warm",15.61389803,0.56470882,28.84392765,25.03541756,1800.471924,101.4621658,63.78731537,-1.11002648566667,24.8835716233333
"14","m3.2","warm",21.93037543,0.566413558,48.88034046,25.02854729,1800.286377,150.9561768,63.82135391,-1.11002648566667,24.8835716233333
"15","m3.2","warm",26.80341683,0.549697287,72.79902857,25.06663513,1800.137451,200.3774261,63.41726685,-1.11002648566667,24.8835716233333
"16","m3.2","warm",29.92606809,0.516217519,102.4135185,25.146492,1800.086548,251.4047699,62.52374268,-1.11002648566667,24.8835716233333
"17","m3.2","warm",32.07183438,0.462195973,151.96863,25.15842628,1800.057495,325.0206604,61.168293,-1.11002648566667,24.8835716233333
"18","m3.2","warm",32.72603147,0.375777946,195.8189774,25.20610046,1799.934448,400.5769958,59.48957443,-1.11002648566667,24.8835716233333
"19","m3.2","warm",33.2725058,0.27826403,336.2987012,25.27744102,1800.321167,600.4390869,55.39772797,-1.11002648566667,24.8835716233333
"20","m3.2","warm",33.43297145,0.195844397,447.501049,25.41457748,1800.237305,800.1663818,50.76724243,-1.11002648566667,24.8835716233333
"21","m3.2","warm",33.60052972,0.139099493,720.0981031,25.52058601,1800.272339,1200.004272,46.76138306,-1.11002648566667,24.8835716233333
"22","m3.2","warm",33.45373964,0.098914921,856.9920153,25.57835197,1800.31958,1500.593018,43.42096329,-1.11002648566667,24.8835716233333
"23","m3.3","warm",8.222765754,0.606953853,12.7613758,24.75977325,1799.236328,49.19845581,69.08402252,-0.910938114,24.7900390633333
"24","m3.3","warm",16.42331898,0.635863022,30.21903198,24.92122269,1799.328735,101.1578064,66.70258331,-0.910938114,24.7900390633333
"25","m3.3","warm",23.36846504,0.641197753,50.75443405,25.054842,1799.261353,151.4638214,66.82341766,-0.910938114,24.7900390633333
"26","m3.3","warm",28.14925659,0.622907634,76.2551172,25.13730621,1799.361328,200.1920471,66.53736115,-0.910938114,24.7900390633333
"27","m3.3","warm",30.99028015,0.578389619,106.8090323,25.09857178,1800.680298,250.2563324,65.94091797,-0.910938114,24.7900390633333
"28","m3.3","warm",32.72608021,0.502772626,158.4441456,25.19158363,1800.777466,325.4224243,63.95121384,-0.910938114,24.7900390633333
"29","m3.3","warm",33.41048613,0.411012687,204.221199,25.14255333,1800.063354,400.3753357,62.30725098,-0.910938114,24.7900390633333
"30","m3.3","warm",33.87594883,0.312948233,354.1461977,25.14174271,1800.158813,600.3584595,59.12598038,-0.910938114,24.7900390633333
"31","m3.3","warm",33.82269094,0.215987617,470.6475508,25.24505997,1799.880127,800.2195435,55.4813385,-0.910938114,24.7900390633333
"32","m3.3","warm",34.04839039,0.148155319,740.7322194,25.30758095,1798.937378,1200.423828,51.52207947,-0.910938114,24.7900390633333
"33","m3.3","warm",33.47771341,0.098580824,857.4783301,25.340662,1800.294067,1500.027466,48.24697495,-0.910938114,24.7900390633333
"34","e3.1","warm",6.874512811,0.417108587,15.6753907,24.99998093,1800.694214,49.80131531,59.96314621,-0.327147439,25.1014544166667
"35","e3.1","warm",12.8764794,0.407980953,34.66523499,25.01523972,1800.637695,99.85778809,59.74905014,-0.327147439,25.1014544166667
"36","e3.1","warm",19.59008518,0.400419993,49.09916835,25.0006218,1800.370483,149.6531219,59.53691483,-0.327147439,25.1014544166667
"37","e3.1","warm",25.33430151,0.399894127,69.66627549,24.9355011,1800.220703,199.9905701,59.42840576,-0.327147439,25.1014544166667
"38","e3.1","warm",30.10153702,0.398098485,94.5850772,24.84648895,1799.744385,250.2854614,58.28747177,-0.327147439,25.1014544166667
"39","e3.1","warm",33.19872846,0.383573632,146.8534049,24.88964462,1800.15332,324.9312744,57.72623062,-0.327147439,25.1014544166667
"40","e3.1","warm",34.83598265,0.3633062,203.2442147,24.88469124,1800.338013,399.7371521,57.05326843,-0.327147439,25.1014544166667
"41","e3.1","warm",36.05946303,0.308794287,363.6934855,24.92675018,1800.285034,600.0264893,55.56909943,-0.327147439,25.1014544166667
"42","e3.1","warm",36.37484938,0.222876277,484.3383032,24.99601555,1800.413818,800.263855,53.12602615,-0.327147439,25.1014544166667
