"","code","growth","Photo","Cond","Ci","Tleaf","PARi","CO2R","RH_S","spp"
"2","m3.1","warm",15.46492608,0.553933033,27.84917617,24.91503906,1799.296387,100.651062,61.77412415,"Z. mays "
"4","m3.1","warm",28.29757237,0.564002748,68.57454176,24.99015236,1800.12085,200.8909912,62.48997879,"Z. mays "
"6","m3.1","warm",34.84479258,0.526963237,153.0438108,25.07631302,1799.873291,325.5072021,61.70523453,"Z. mays "
"8","m3.1","warm",36.38602474,0.419439713,383.7825767,25.13238716,1799.767944,600.8947754,58.98955536,"Z. mays "
"10","m3.1","warm",36.47699735,0.280906484,892.9014337,25.16975021,1800.125244,1199.848999,53.57199478,"Z. mays "
"12","m3.2","warm",7.608275939,0.532738808,12.28002601,25.06275177,1799.189575,48.92861938,62.79286575,"Z. mays "
"14","m3.2","warm",21.93037543,0.566413558,48.88034046,25.02854729,1800.286377,150.9561768,63.82135391,"Z. mays "
"16","m3.2","warm",29.92606809,0.516217519,102.4135185,25.146492,1800.086548,251.4047699,62.52374268,"Z. mays "
"18","m3.2","warm",32.72603147,0.375777946,195.8189774,25.20610046,1799.934448,400.5769958,59.48957443,"Z. mays "
"20","m3.2","warm",33.43297145,0.195844397,447.501049,25.41457748,1800.237305,800.1663818,50.76724243,"Z. mays "
"22","m3.2","warm",33.45373964,0.098914921,856.9920153,25.57835197,1800.31958,1500.593018,43.42096329,"Z. mays "
"24","m3.3","warm",16.42331898,0.635863022,30.21903198,24.92122269,1799.328735,101.1578064,66.70258331,"Z. mays "
"26","m3.3","warm",28.14925659,0.622907634,76.2551172,25.13730621,1799.361328,200.1920471,66.53736115,"Z. mays "
"28","m3.3","warm",32.72608021,0.502772626,158.4441456,25.19158363,1800.777466,325.4224243,63.95121384,"Z. mays "
"30","m3.3","warm",33.87594883,0.312948233,354.1461977,25.14174271,1800.158813,600.3584595,59.12598038,"Z. mays "
"32","m3.3","warm",34.04839039,0.148155319,740.7322194,25.30758095,1798.937378,1200.423828,51.52207947,"Z. mays "
"34","m3.1","warm",7.959021593,0.558892016,10.87749767,35.25838852,1799.121826,48.48764801,64.76940155,"Z. mays "
"36","m3.1","warm",26.30363409,0.703715036,42.11461294,34.97843933,1799.982056,150.3806915,72.07878876,"Z. mays "
"38","m3.1","warm",38.41341015,0.735212793,94.6079056,35.0357933,1800.114868,250.0172424,75.04399872,"Z. mays "
"40","m3.1","warm",42.59554528,0.589021758,200.5514474,35.17618179,1798.544678,400.5680237,75.8451767,"Z. mays "
"42","m3.1","warm",42.89417944,0.414475947,533.4809146,35.13147736,1798.991943,799.6615601,78.15335083,"Z. mays "
"44","m3.1","warm",42.14124869,0.291040371,1140.681108,35.07601547,1799.873779,1500.083008,75.12811279,"Z. mays "
"46","m3.2","warm",16.97816544,0.662219813,28.7806831,35.12376404,1800.332397,101.3191452,68.22943878,"Z. mays "
"48","m3.2","warm",31.7422282,0.702653966,68.35260827,34.98508453,1799.771118,199.7688751,70.46979523,"Z. mays "
"50","m3.2","warm",43.55546568,0.737746349,147.7594217,35.14685822,1799.365601,325.3521118,75.10709381,"Z. mays "
"52","m3.2","warm",45.86246313,0.7614489,406.8991988,34.77210236,1800.152588,599.7233276,77.78227234,"Z. mays "
"54","m3.2","warm",45.3858448,0.647120583,969.4472585,35.14496613,1801.11084,1200.291748,76.75511169,"Z. mays "
"56","m3.3","warm",7.488339857,0.527277571,12.14769517,34.96136475,1800.081543,49.02167511,61.25121689,"Z. mays "
"58","m3.3","warm",22.34587586,0.576581862,46.7161962,35.14834976,1798.653564,151.3803406,65.38536072,"Z. mays "
"60","m3.3","warm",31.49660447,0.476657173,82.96128246,35.21517944,1798.561523,250.3678589,65.93531036,"Z. mays "
"62","m3.3","warm",34.77638482,0.272033401,123.5058475,35.12992859,1798.85376,400.6871948,63.51258087,"Z. mays "
"64","m3.3","warm",38.25691131,0.143723291,279.3689125,35.10270691,1799.578735,799.9102783,59.05632401,"Z. mays "
"66","m3.3","warm",39.76004387,0.093283204,689.3560358,34.95173264,1799.574097,1500.391846,55.67728043,"Z. mays "
"629","j3.1","warm",17.91425215,0.6055965,19.1882926,35.34523773,1799.208252,99.74145508,54.88102341,"S. bicolor "
"631","j3.1","warm",33.81469172,0.608440329,47.74813582,35.03026581,1799.774902,199.5403748,61.27059937,"S. bicolor "
"633","j3.1","warm",47.20725836,0.614437411,112.3528457,34.93291855,1799.637817,324.710083,63.65443039,"S. bicolor "
"635","j3.1","warm",50.1355977,0.562975086,349.8173784,35.05937576,1799.106079,599.4780884,62.08483505,"S. bicolor "
"637","j3.1","warm",50.00307022,0.48172602,898.0930521,35.07051086,1800.231934,1200.531738,61.80370712,"S. bicolor "
"639","j3.2","warm",8.701499406,0.602934551,10.06889963,35.31694794,1798.8927,49.29556274,61.12704849,"S. bicolor "
"641","j3.2","warm",25.41599216,0.651949343,41.80149643,35.01331329,1800.730591,151.1890717,70.56147766,"S. bicolor "
"643","j3.2","warm",41.13558685,0.715184345,83.42350468,34.86422348,1799.968262,251.338974,73.96930695,"S. bicolor "
"645","j3.2","warm",51.95259182,0.666128232,176.3961157,34.92272186,1800.182739,400.4172363,73.57849884,"S. bicolor "
"647","j3.2","warm",53.6786436,0.568247289,530.3685392,34.99851608,1798.894897,801.1903687,69.57207489,"S. bicolor "
"649","j3.2","warm",53.39811867,0.46074544,1162.616084,35.03133392,1801.292969,1500.390991,68.0072403,"S. bicolor "
"651","j3.3","warm",18.00371492,0.707485023,26.2058503,35.2885704,1798.531006,100.3865356,62.43122482,"S. bicolor "
"653","j3.3","warm",34.29031298,0.757022116,65.17322638,34.88995743,1801.022217,201.3848267,68.29443359,"S. bicolor "
"655","j3.3","warm",48.02022722,0.778483943,134.898288,35.00697708,1799.838379,324.8002014,66.59831238,"S. bicolor "
"657","j3.3","warm",51.71828321,0.718024467,374.7803991,35.13405991,1800.11377,600.2042236,65.57572937,"S. bicolor "
"659","j3.3","warm",51.19186345,0.630166483,932.1374715,35.12675858,1799.370605,1199.965454,64.69272614,"S. bicolor "
"661","j3.1","warm",6.897761877,0.464546686,13.41934337,24.96365547,1799.334961,49.76977539,61.58080673,"S. bicolor "
"663","j3.1","warm",18.5802176,0.399872969,41.12398074,24.99754143,1799.606934,149.7653656,59.71457291,"S. bicolor "
"665","j3.1","warm",26.48699919,0.325905883,70.1297901,25.10049057,1799.908813,249.9547729,57.14967346,"S. bicolor "
"667","j3.1","warm",31.9312595,0.24143758,126.981546,25.15996361,1800.050415,401.2090149,54.63739777,"S. bicolor "
"669","j3.1","warm",31.61766292,0.099287419,219.7704237,25.21703529,1800.288452,800.671875,46.82979584,"S. bicolor "
"671","j3.1","warm",31.76159023,0.054965832,487.2424261,24.93851089,1799.887939,1500.429688,44.14661026,"S. bicolor "
"673","j3.2","warm",11.90983511,0.378532554,27.28150114,24.89024925,1799.923584,99.54095459,63.95841599,"S. bicolor "
"675","j3.2","warm",20.38740565,0.30475645,53.58727042,25.03606033,1799.950073,198.7437134,62.14511108,"S. bicolor "
"677","j3.2","warm",27.61436679,0.242172358,89.68481747,25.16886139,1799.189941,324.9637146,61.64014053,"S. bicolor "
"679","j3.2","warm",32.73588727,0.150745947,185.125269,25.13048363,1799.64563,599.854248,58.82687759,"S. bicolor "
"681","j3.2","warm",34.00948772,0.072596377,368.3105012,25.3076973,1799.927002,1200.224121,55.081707,"S. bicolor "
"683","j3.3","warm",7.29858859,0.521133123,14.04103974,25.04171181,1800.133179,49.68147278,64.76033783,"S. bicolor "
"685","j3.3","warm",19.61814953,0.486230007,50.56302007,24.96587372,1800.439941,151.1403656,64.02202606,"S. bicolor "
"687","j3.3","warm",28.70279818,0.430871199,90.8782578,24.9694767,1800.609863,250.8991089,62.74560928,"S. bicolor "
"689","j3.3","warm",34.85868546,0.369752901,182.1920366,25.00298882,1801.13562,400.5454712,61.23984146,"S. bicolor "
"691","j3.3","warm",31.21510165,0.113606069,290.8586143,25.14705658,1799.625488,801.027832,52.58577728,"S. bicolor "
"693","j3.3","warm",31.6325473,0.055240223,497.8280024,25.04304504,1800.603027,1500.219482,49.96501541,"S. bicolor "
"912","m1.1","cool",18.5690288,0.865641759,33.13439363,24.9616127,1800.015625,100.8082352,61.09437943,"Z. mays "
"914","m1.1","cool",34.54097406,0.872605739,74.87553065,25.03078461,1799.821411,200.7047577,61.19890213,"Z. mays "
"916","m1.1","cool",44.89156452,0.818144533,154.0248233,25.0526371,1800.315674,325.1254578,60.28371429,"Z. mays "
"918","m1.1","cool",46.23548364,0.597930636,383.1477094,24.91090393,1800.208252,601.2775269,55.52335739,"Z. mays "
"920","m1.1","cool",46.78881923,0.334023177,859.8904451,25.10430336,1801.174438,1200.295776,46.90090942,"Z. mays "
"922","m1.2","cool",8.336719694,0.56951549,10.79768683,25.01831627,1799.087769,49.24885178,60.22573471,"Z. mays "
"924","m1.2","cool",24.73921122,0.614418098,42.02239045,24.99579048,1799.066406,151.2920074,61.34755325,"Z. mays "
"926","m1.2","cool",36.60136797,0.605109865,86.24480361,24.96401596,1800.665527,250.250885,61.09622574,"Z. mays "
"928","m1.2","cool",41.95617437,0.540390474,195.2651378,25.15040588,1799.34436,400.4482727,59.7834816,"Z. mays "
"930","m1.2","cool",41.74776764,0.35342561,516.9515517,25.30565643,1798.809814,800.6223145,55.06835175,"Z. mays "
"932","m1.2","cool",42.05216729,0.139667271,899.2197285,25.640728,1798.822266,1500.497925,41.93309021,"Z. mays "
"934","m1.3","cool",14.12956728,0.450075486,24.153396,25.1151104,1801.131348,100.1428223,63.71228409,"Z. mays "
"936","m1.3","cool",28.02471454,0.488933414,57.45885583,24.98137474,1801.136353,200.3363037,65.17784882,"Z. mays "
"938","m1.3","cool",36.43625965,0.501718769,139.8615382,24.96819878,1798.962036,324.5921326,66.07294464,"Z. mays "
"940","m1.3","cool",38.58541825,0.433445746,377.4942877,25.17899132,1799.090454,600.6662598,64.32565308,"Z. mays "
"942","m1.3","cool",37.94233586,0.244207776,852.3850141,25.26755142,1799.444336,1199.879761,59.03666687,"Z. mays "
"944","m1.1","cool",8.01686627,0.508275132,9.216759324,34.86042404,1799.021484,49.47276688,51.72485733,"Z. mays "
"946","m1.1","cool",24.40954473,0.550435972,33.35194384,35.19280243,1798.936035,150.2070313,58.15583801,"Z. mays "
"948","m1.1","cool",39.3600778,0.628427678,75.86363886,35.14702988,1799.498779,250.4181061,63.67304993,"Z. mays "
"950","m1.1","cool",48.29242333,0.659439904,187.962067,35.12086487,1801.216553,400.151947,68.78115082,"Z. mays "
"952","m1.1","cool",48.98813294,0.560529443,547.542079,35.13789368,1801.045166,800.8560791,71.49682617,"Z. mays "
"954","m1.1","cool",48.07656857,0.382720546,1155.69995,35.14670944,1800.654175,1499.632935,71.45970917,"Z. mays "
"956","m1.2","cool",16.8618826,0.596928778,24.26973124,35.07978821,1798.580322,100.8675308,65.72389984,"Z. mays "
"958","m1.2","cool",33.29873142,0.662310452,59.02534163,34.93094254,1800.969238,201.484787,68.14067078,"Z. mays "
"960","m1.2","cool",48.72884792,0.689559133,119.0521457,34.90177155,1800.480225,323.9113159,69.93366241,"Z. mays "
"962","m1.2","cool",55.70501704,0.647662245,347.4918404,34.92518234,1800.052002,599.7828369,70.06635284,"Z. mays "
"964","m1.2","cool",55.23128272,0.495785036,880.4781984,35.21357727,1799.379272,1199.855835,70.91449738,"Z. mays "
"966","m1.3","cool",8.3178464,0.570148602,9.591165976,35.29522705,1799.735596,48.46461487,55.23675919,"Z. mays "
"968","m1.3","cool",26.02235354,0.642986429,37.0528023,35.12563705,1798.493774,150.3032532,62.78697586,"Z. mays "
"970","m1.3","cool",41.4921662,0.705500704,79.4251979,35.13049698,1800.249268,251.1851349,66.38314056,"Z. mays "
"972","m1.3","cool",52.42661734,0.721449253,182.3638418,35.11330414,1800.609253,400.306488,68.25053406,"Z. mays "
"974","m1.3","cool",53.47752979,0.684859121,553.3430781,34.97518539,1800.913818,799.8198853,68.25421143,"Z. mays "
"976","m1.3","cool",52.45269539,0.514719717,1181.52609,35.07508087,1799.141968,1499.849365,63.66165543,"Z. mays "
"1287","j1.1","cool",9.273307886,0.611789364,9.051778617,35.26653671,1799.444214,50.13873291,67.02446747,"S. bicolor "
"1289","j1.1","cool",26.81613048,0.687241028,38.7669259,34.99537659,1799.45813,149.8386688,73.64923859,"S. bicolor "
"1291","j1.1","cool",41.47022766,0.714830594,81.69716989,34.88617706,1799.27771,249.9321747,76.56881714,"S. bicolor "
"1293","j1.1","cool",50.64737426,0.706177688,191.3152996,34.87775803,1800.072632,401.3008118,77.11845398,"S. bicolor "
"1295","j1.1","cool",52.4349475,0.668352472,563.5976189,34.92390442,1800.645386,801.105957,76.15658569,"S. bicolor "
"1297","j1.1","cool",51.6461652,0.592412633,1223.672799,35.10048676,1799.1521,1500.424683,73.60452271,"S. bicolor "
"1299","j1.2","cool",16.2616063,0.523711785,19.65539023,35.24454498,1799.335693,99.61769867,61.22834778,"S. bicolor "
"1301","j1.2","cool",30.86180956,0.534928971,49.37083054,35.02941132,1799.952026,199.47052,63.7734108,"S. bicolor "
"1303","j1.2","cool",44.07557209,0.522417373,105.9382107,35.0134201,1800.818481,324.9732056,65.04255676,"S. bicolor "
"1305","j1.2","cool",50.0499331,0.505731879,334.7247042,34.99720383,1799.733398,599.0216064,64.80729675,"S. bicolor "
"1307","j1.2","cool",50.43050622,0.485285191,899.3752162,34.97827911,1799.952393,1200.431519,63.8894577,"S. bicolor "
"1309","j1.3","cool",8.990495095,0.559530433,7.697838325,35.20463943,1798.614624,49.94364548,59.82847977,"S. bicolor "
"1311","j1.3","cool",25.40150728,0.568248977,30.83519868,35.07715607,1800.183716,149.3905945,63.77740479,"S. bicolor "
"1313","j1.3","cool",38.92854036,0.550274906,64.36626445,34.96952438,1800.996582,250.2973328,66.31092072,"S. bicolor "
"1315","j1.3","cool",47.45147496,0.509327195,159.0363122,34.9475441,1799.98938,401.0023499,65.79995728,"S. bicolor "
"1317","j1.3","cool",49.53579748,0.4579515,512.5184198,35.00301743,1800.508179,800.7709351,64.30617523,"S. bicolor "
"1319","j1.3","cool",49.20604042,0.401777307,1154.189267,35.07629013,1800.926636,1499.599243,62.82725906,"S. bicolor "
"1321","j1.1","cool",14.86836157,0.491027373,24.57265245,24.93047714,1799.386108,99.86647034,64.95240784,"S. bicolor "
"1323","j1.1","cool",27.79100601,0.472572828,54.28360792,24.90412521,1799.689453,198.8863525,63.80634689,"S. bicolor "
